Identyfikator Produktu (ID)|Indeks produktu|Atrybut (Nazwa:Typ:Pozycja)*|Wartość (Wartość:Pozycja)*|Identyfikator dostawcy|Indeks|kod EAN13|Kod kreskowy UPC|MPN|Koszt własny|Wpływ na cenę|Podatek ekologiczny|Ilość|Minimalna ilość|Niski poziom produktów w magazynie|Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu|Wpływ na wagę|Domyślny (0 = Nie, 1 = Tak)|Data dostępności kombinacji|Wybierz z pośród zdjęć produktów wg pozycji (1,2,3...)|Adresy URL zdjęcia (x,y,z...)|Tekst alternatywny dla zdjęć (x,y,z...)|ID / Nazwa sklepu|Zaawansowane zarządzanie magazynem|Zależny od stanu magazynowego|Magazyn
1|1|Gwarancja (W latach):radio:0|1:0||1-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
1|1|Gwarancja (W latach):radio:0|2:0||1-2|||||199.90|0|500|1||0|0|0||1|||0|0|0|0
1|1|Gwarancja (W latach):radio:0|3:0||1-3|||||299.85|0|500|1||0|0|0||1|||0|0|0|0
2|2|Gwarancja (W latach):radio:0|1:0||2-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
2|2|Gwarancja (W latach):radio:0|2:0||2-2|||||77.90|0|500|1||0|0|0||1|||0|0|0|0
2|2|Gwarancja (W latach):radio:0|3:0||2-3|||||116.85|0|500|1||0|0|0||1|||0|0|0|0
3|3|Gwarancja (W latach):radio:0|1:0||3-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
3|3|Gwarancja (W latach):radio:0|2:0||3-2|||||44.90|0|500|1||0|0|0||1|||0|0|0|0
3|3|Gwarancja (W latach):radio:0|3:0||3-3|||||67.35|0|500|1||0|0|0||1|||0|0|0|0
4|4|Gwarancja (W latach):radio:0|1:0||4-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
4|4|Gwarancja (W latach):radio:0|2:0||4-2|||||69.90|0|500|1||0|0|0||1|||0|0|0|0
4|4|Gwarancja (W latach):radio:0|3:0||4-3|||||104.85|0|500|1||0|0|0||1|||0|0|0|0
5|5|Gwarancja (W latach):radio:0|1:0||5-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
5|5|Gwarancja (W latach):radio:0|2:0||5-2|||||71.80|0|500|1||0|0|0||1|||0|0|0|0
5|5|Gwarancja (W latach):radio:0|3:0||5-3|||||107.70|0|500|1||0|0|0||1|||0|0|0|0
6|6|Gwarancja (W latach):radio:0|1:0||6-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
6|6|Gwarancja (W latach):radio:0|2:0||6-2|||||149.90|0|500|1||0|0|0||1|||0|0|0|0
6|6|Gwarancja (W latach):radio:0|3:0||6-3|||||224.85|0|500|1||0|0|0||1|||0|0|0|0
7|7|Gwarancja (W latach):radio:0|1:0||7-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
7|7|Gwarancja (W latach):radio:0|2:0||7-2|||||199.90|0|500|1||0|0|0||1|||0|0|0|0
7|7|Gwarancja (W latach):radio:0|3:0||7-3|||||299.85|0|500|1||0|0|0||1|||0|0|0|0
8|8|Gwarancja (W latach):radio:0|1:0||8-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
8|8|Gwarancja (W latach):radio:0|2:0||8-2|||||118.80|0|500|1||0|0|0||1|||0|0|0|0
8|8|Gwarancja (W latach):radio:0|3:0||8-3|||||178.20|0|500|1||0|0|0||1|||0|0|0|0
9|9|Gwarancja (W latach):radio:0|1:0||9-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
9|9|Gwarancja (W latach):radio:0|2:0||9-2|||||118.80|0|500|1||0|0|0||1|||0|0|0|0
9|9|Gwarancja (W latach):radio:0|3:0||9-3|||||178.20|0|500|1||0|0|0||1|||0|0|0|0
10|10|Gwarancja (W latach):radio:0|1:0||10-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
10|10|Gwarancja (W latach):radio:0|2:0||10-2|||||98.80|0|500|1||0|0|0||1|||0|0|0|0
10|10|Gwarancja (W latach):radio:0|3:0||10-3|||||148.20|0|500|1||0|0|0||1|||0|0|0|0
11|11|Gwarancja (W latach):radio:0|1:0||11-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
11|11|Gwarancja (W latach):radio:0|2:0||11-2|||||68.80|0|500|1||0|0|0||1|||0|0|0|0
11|11|Gwarancja (W latach):radio:0|3:0||11-3|||||103.20|0|500|1||0|0|0||1|||0|0|0|0
12|12|Gwarancja (W latach):radio:0|1:0||12-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
12|12|Gwarancja (W latach):radio:0|2:0||12-2|||||64.90|0|500|1||0|0|0||1|||0|0|0|0
12|12|Gwarancja (W latach):radio:0|3:0||12-3|||||97.35|0|500|1||0|0|0||1|||0|0|0|0
13|13|Gwarancja (W latach):radio:0|1:0||13-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
13|13|Gwarancja (W latach):radio:0|2:0||13-2|||||39.90|0|500|1||0|0|0||1|||0|0|0|0
13|13|Gwarancja (W latach):radio:0|3:0||13-3|||||59.85|0|500|1||0|0|0||1|||0|0|0|0
14|14|Gwarancja (W latach):radio:0|1:0||14-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
14|14|Gwarancja (W latach):radio:0|2:0||14-2|||||39.90|0|500|1||0|0|0||1|||0|0|0|0
14|14|Gwarancja (W latach):radio:0|3:0||14-3|||||59.85|0|500|1||0|0|0||1|||0|0|0|0
15|15|Gwarancja (W latach):radio:0|1:0||15-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
15|15|Gwarancja (W latach):radio:0|2:0||15-2|||||49.90|0|500|1||0|0|0||1|||0|0|0|0
15|15|Gwarancja (W latach):radio:0|3:0||15-3|||||74.85|0|500|1||0|0|0||1|||0|0|0|0
16|16|Gwarancja (W latach):radio:0|1:0||16-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
16|16|Gwarancja (W latach):radio:0|2:0||16-2|||||24.90|0|500|1||0|0|0||1|||0|0|0|0
16|16|Gwarancja (W latach):radio:0|3:0||16-3|||||37.35|0|500|1||0|0|0||1|||0|0|0|0
17|17|Gwarancja (W latach):radio:0|1:0||17-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
17|17|Gwarancja (W latach):radio:0|2:0||17-2|||||32.90|0|500|1||0|0|0||1|||0|0|0|0
17|17|Gwarancja (W latach):radio:0|3:0||17-3|||||49.35|0|500|1||0|0|0||1|||0|0|0|0
18|18|Gwarancja (W latach):radio:0|1:0||18-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
18|18|Gwarancja (W latach):radio:0|2:0||18-2|||||29.90|0|500|1||0|0|0||1|||0|0|0|0
18|18|Gwarancja (W latach):radio:0|3:0||18-3|||||44.85|0|500|1||0|0|0||1|||0|0|0|0
19|19|Gwarancja (W latach):radio:0|1:0||19-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
19|19|Gwarancja (W latach):radio:0|2:0||19-2|||||49.90|0|500|1||0|0|0||1|||0|0|0|0
19|19|Gwarancja (W latach):radio:0|3:0||19-3|||||74.85|0|500|1||0|0|0||1|||0|0|0|0
20|20|Gwarancja (W latach):radio:0|1:0||20-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
20|20|Gwarancja (W latach):radio:0|2:0||20-2|||||78.80|0|500|1||0|0|0||1|||0|0|0|0
20|20|Gwarancja (W latach):radio:0|3:0||20-3|||||118.20|0|500|1||0|0|0||1|||0|0|0|0
21|21|Gwarancja (W latach):radio:0|1:0||21-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
21|21|Gwarancja (W latach):radio:0|2:0||21-2|||||38.80|0|500|1||0|0|0||1|||0|0|0|0
21|21|Gwarancja (W latach):radio:0|3:0||21-3|||||58.20|0|500|1||0|0|0||1|||0|0|0|0
22|22|Gwarancja (W latach):radio:0|1:0||22-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
22|22|Gwarancja (W latach):radio:0|2:0||22-2|||||69.90|0|500|1||0|0|0||1|||0|0|0|0
22|22|Gwarancja (W latach):radio:0|3:0||22-3|||||104.85|0|500|1||0|0|0||1|||0|0|0|0
23|23|Gwarancja (W latach):radio:0|1:0||23-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
23|23|Gwarancja (W latach):radio:0|2:0||23-2|||||19.90|0|500|1||0|0|0||1|||0|0|0|0
23|23|Gwarancja (W latach):radio:0|3:0||23-3|||||29.85|0|500|1||0|0|0||1|||0|0|0|0
24|24|Gwarancja (W latach):radio:0|1:0||24-1|||||0.00|0|500|1||0|0|1||1|||0|0|0|0
