ID|Aktywny (0 lub 1)|Nazwa|Kategorie (x,y,z...)|Cena bez podatku. (netto)|ID reguły podatku|Koszt własny|W sprzedaży (0 lub 1)|Wartość rabatu|Procent rabatu|Rabat od dnia (rrrr-mm-dd)|Rabat do dnia (rrrr-mm-dd)|Indeks #|Kod dostawcy|Dostawca|Marka|kod EAN13|Kod kreskowy UPC|MPN|Podatek ekologiczny|Szerokość|Wysokość|Głębokość|Waga|Czas dostawy produktów dostępnych w magazynie:|Czas dostawy wyprzedanych produktów z możliwością rezerwacji:|Ilość|Minimalna ilość|Niski poziom produktów w magazynie|Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu|Widoczność|Dodatkowe koszty przesyłki|Jednostka dla ceny za jednostkę|Cena za jednostkę|Podsumowanie|Opis|Tagi (x,y,z...)|Meta-tytuł|Słowa kluczowe meta|Opis meta|Przepisany URL|Etykieta, gdy w magazynie|Etykieta kiedy dozwolone ponowne zamówienie|Dostępne do zamówienia (0 = Nie, 1 = Tak)|Data dostępności produktu|Data wytworzenia produktu|Pokaż cenę (0 = Nie, 1 = Tak)|Adresy URL zdjęcia (x,y,z...)|Tekst alternatywny dla zdjęć (x,y,z...)|Usuń istniejące zdjęcia (0 = Nie, 1 = Tak)|Cecha(Nazwa:Wartość:Pozycja:Indywidualne)|Dostępne tylko online (0 = Nie, 1 = Tak)|Stan:|Konfigurowalny (0 = Nie, 1 = Tak)|Można wgrywać pliki (0 = Nie, 1 = Tak)|Pola tekstowe (0 = Nie, 1 = Tak)|Akcja kiedy brak na stanie|Wirtualny produkt (0 = No, 1 = Yes)|Adres URL pliku|Ilość dozwolonych pobrań|Data wygaśnięcia (rrrr-mm-dd)|Liczba dni|ID / Nazwa sklepu|Zaawansowane zarządzanie magazynem|Zależny od stanu magazynowego|Magazyn|Akcesoria (x,y,z...)|Cena zawiera podatek. (brutto)
|1|Kosiarka akumulatorowa Ryobi Max Power RLM36X41H50PG 36V 40cm|Kosiarki akumulatorowe||1||1||||||||RYOBI||||0|43|130|120|20.5|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka 36V o szerokości koszenia 40 cm wyposażona w funkcję Power Assist. Funkcja Power Assist wspiera użytkownika w czasie koszenia na trudnym terenie. Funkcja Easy Edge umożliwia koszenie wzdłuż krawędzi. Jednopunktowa 5-cio pozycyjna możliwość regulacji koszenia w zakresie 20-70 mm. Kosz na trawę o pojemności 45l. W zestawie znajduje się 1x akumulator 5,0Ah i ładowarka.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|/img/upload/kosiarka-akumulatorowa-ryobi-max-power-rlm36x41h50pg-36v-40cm,large.jpg|Zdjęcie pozycji|1|Rekomendowana powierzchnia (w m²):550$Napięcie (w V):36$Rodzaj napędu:Brak$Szerokość koszenia (w cm):40$Regulacja wysokości cięcia:Centralny$Zakres wysokości koszenia ( w cm ):Od 2 do 7 cm$Ilość poziomów regulacji wysokości koszenia:5$Typ silnika:Ze szczotką węglową$Akumulator i ładowarka:W zestawie$Pojemność akumulatora (w Ah):5$Typ baterii:Litowo-jonowa$Czas pracy baterii (w min):30$Czas ładowania do 100% (w min):180$Rodzaj wyrzutu:2 w 1 - tylny i mielenie trawy$Funkcja mielenia:Tak, zaślepka w zestawie$Materiał wykonania obudowy:Tworzywo sztuczne$Materiał wykonania kosza:Tworzywo sztuczne$Pojemność kosza (w l):45$Kontrolka napełnienia kosza:Nie$Szerokość (w cm):43$Głębokość (w cm):120$Wysokość (w cm):130$Poziom mocy akustycznej (w dB):95$Koła na łożyskach kulkowych:Nie$Średnica kół przednich (w cm):19$Średnica kół tylnych ( w cm):14$Kierownica z regulowaną wysokością:Tak$Uchwyt do przenoszenia:Tak$Składany uchwyt:Tak$Wyłącznik termiczny:Nie, chronione przez baterię$Model / typ:RLM36X41H50PG$Marka produktu:RYOBI$Waga (w kg):20.5$Gwarancja na obudowę (w latach):2$Gwarancja (w latach):2$Kod EAN-:4892210199096$Numer referencyjny-:83537265|1|new|0|0|0|0|0|||||0|0|0|0||1999
|1|Kosiarka akumulatorowa Sterwins Solo 40V 42cm|Kosiarki akumulatorowe||1||1||||||||STERWINS||||0|47,4|34.5|77.0|14.000|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka akumulatorowa Sterwins jest idealnie sprawdzi się na obszarach o powierzchni do 600m². Silnik automatycznie dostosowuje poziom mocy do rodzaju koszonego trawnika. Szerokość cięcia 42 cm oraz opcja „Cutating edge” zapewniają proste cięcie i równo wyznaczają krawędzie. Dzięki centralnej regulacji wysokości koszenia możesz dostosować kosiarkę do swoich potrzeb. Posiada w 6 pozycji koszenia w zakresie od 2,5 do 7,5 cm. Kierownica o regulowanej wysokości „Easy Bag” ułatwia wyjmowanie kosza o pojemności 50 l na trawę. Posiada wskaźnik napełnienia oraz dodatkowy uchwyt ułatwiający opróżnianie kosza. Jego tekstylna część jest wytrzymała i oszczędza miejsce podczas przechowywania. Kosiarka Sterwins jest lekka - waży 13kg i łatwy do przenoszenia dzięki uchwytom na silniku i koszu na trawę. Przechowywanie kosiarki jest zoptymalizowane: można trzymać ją w pionie lub poziomie. Posiada gwarancję na 3 lata. Baterię i ładowarkę należy zakupić osobno. Będziesz potrzebować akumulatora UP40 (40V, 5Ah) i ładowarki 40V.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|/img/upload/kosiarka-akumulatorowa-sterwins-solo-40v-42cm,large.jpg|Zdjęcie pozycji|1|Rekomendowana powierzchnia (w m²):600.0$Napięcie (w V):36$Rodzaj napędu:Brak$Szerokość koszenia (w cm):42$Regulacja wysokości cięcia:Centralny$Zakres wysokości koszenia ( w cm ):Od 2.5 do 7.5 cm$Ilość poziomów regulacji wysokości koszenia:6$Typ silnika:Akumulator$Akumulator i ładowarka:Brak w zestawie$Pojemność akumulatora (w Ah):5.0$Typ baterii:Litowo-jonowa$Czas pracy baterii (w min):30$Czas ładowania do 100% (w min):120.0$Rodzaj wyrzutu:Tylny$Funkcja mielenia:Nie$Materiał wykonania obudowy:Polipropylen$Materiał wykonania kosza:Nylon$Pojemność kosza (w l):50.0$Kontrolka napełnienia kosza:Tak$Szerokość (w cm):47,4$Głębokość (w cm):77.0$Wysokość (w cm):34.5$Poziom mocy akustycznej (w dB):96.0$Koła na łożyskach kulkowych:Nie$Średnica kół przednich (w cm):16.0$Średnica kół tylnych ( w cm):13.0$Kierownica z regulowaną wysokością:Tak$Uchwyt do przenoszenia:Tak$Składany uchwyt:Tak$Wyłącznik termiczny:Nie, chronione przez baterię$Model / typ:40VLM2-42P.1$Marka produktu:STERWINS$Waga (w kg):14.000$Gwarancja na obudowę (w latach):3$Gwarancja (w latach):3$Kod EAN-:3276007157215$Numer referencyjny-:82674470|1|new|0|0|0|0|0|||||0|0|0|0||779
|1|Kosiarka akumulatorowa Sterwins Solo 20V 33cm|Kosiarki akumulatorowe||1||1||||||||STERWINS||||0|38.5|33.0|61.5|9.510|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka akumulatorowa 20V LM2-33P.1 STERWINS przeznaczona do powierzchni do 200 m2. Zaletą urządzenia jest wyprofilowany przód, co zapewnia łatwy dostęp w wąskich przestrzeniach oraz przy przeszkodach. Dodatkowo kosiarka posiada grzebienie boczne, które dokładnie koszą wzdłuż krawędzi chodnika, przy elewacji oraz wszelkiego rodzaju podmurówkach. Rączka posiada regulację wysokości na 2 pozycjach, a naturalna pozycja dłoni na piankowym uchwycie zapewnia optymalny komfort użytkowania. Kosiarkę wyposażono w kosz na trawę o pojemności 30 l z kontrolką napełnienia kosza, która sygnalizuje potrzebę jego opróżnienia. Silnik indukcyjny charakteryzuje się długą żywotnością i zapewnia wydajną pracę kosiarki. Urządzenie zasilane jest akumulatorami LEXMAN (brak w zestawie), które pasują do innych narzędzi z serii STERWINS UP DEXTER, dzięki czemu w razie potrzeby rozbudujesz warsztat o kolejne urządzenia tych marek.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|/img/upload/kosiarka-akumulatorowa-sterwins-solo-20v-33cm,large.jpg|Zdjęcie pozycji|1|Rekomendowana powierzchnia (w m²):200.0$Napięcie (w V):20$Rodzaj napędu:Przedni$Szerokość koszenia (w cm):33$Regulacja wysokości cięcia:Na każde koło$Zakres wysokości koszenia ( w cm ):Od 2.5 do 7 cm$Ilość poziomów regulacji wysokości koszenia:4$Typ silnika:Akumulator$Akumulator i ładowarka:Brak w zestawie$Pojemność akumulatora (w Ah):5.0$Typ baterii:Litowo-jonowa$Czas pracy baterii (w min):0$Czas ładowania do 100% (w min):60.0$Rodzaj wyrzutu:Od strony frontowej$Funkcja mielenia:Nie$Materiał wykonania obudowy:Polipropylen$Materiał wykonania kosza:Nylon$Pojemność kosza (w l):30.0$Kontrolka napełnienia kosza:Tak$Szerokość (w cm):38.5$Głębokość (w cm):61.5$Wysokość (w cm):33.0$Poziom mocy akustycznej (w dB):96.0$Koła na łożyskach kulkowych:Tak, ułatwia przemieszczanie maszyny$Średnica kół przednich (w cm):14.0$Średnica kół tylnych ( w cm):14.0$Kierownica z regulowaną wysokością:Tak$Uchwyt do przenoszenia:Tak$Składany uchwyt:Tak$Wyłącznik termiczny:Nie$Model / typ:20VLM2-33P.1$Marka produktu:STERWINS$Waga (w kg):9.510$Gwarancja na obudowę (w latach):3$Gwarancja (w latach):3$Kod EAN-:3276000660040$Numer referencyjny-:82152401|1|new|0|0|0|0|0|||||0|0|0|0||449
|1|Kosiarka akumulatorowa Sterwins Solo 40V 36cm|Kosiarki akumulatorowe||1||1||||||||STERWINS||||0|41.5|37.0|61.5|13.000|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Akumulatorowa wersja kosiarki STERWINS 360° LM2-36P.1 zapewnia pełną mobilność pracy bez uciążliwych kabli. Urządzenie akumulatorowe posiada wszystkie zalety narzędzia elektrycznego i spalinowego – cicha praca bez zanieczyszczania środowiska oraz bezprzewodowe zasilanie umożliwia swobodne przemieszczanie i koszenie w miejscach bez dostępu do sieci elektrycznej. Kosiarka charakteryzuje się doskonałą zwrotnością, za sprawą skrętnego kółka z przodu oraz dużym tylnym kołom. Rączka posiada regulację wysokości na 3 pozycjach, a naturalna pozycja dłoni na piankowym uchwycie zapewnia optymalny komfort użytkowania. Kosz na trawę o pojemności 35 l z kontrolką napełnienia kosza, która sygnalizuje potrzebę jego opróżnienia. Dostęp do pojemnika jest szybszy, a jego wyjmowanie łatwiejsze, dzięki odpowiedniemu kształtowi kierownicy. Silnik bezszczotkowy charakteryzuje się długą żywotnością i zapewnia wydajną pracę kosiarki. Urządzenie zasilane jest akumulatorem 40V 5 Ah LEXMAN (brak w zestawie), który pasuje do innych narzędzi akumulatorowych STERWINS, dzięki czemu w razie potrzeby możesz dokupić inne narzędzia takie jak pilarka czy kosa.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|/img/upload/kosiarka-akumulatorowa-sterwins-solo-40v-36cm,large.jpg|Zdjęcie pozycji|1|Rekomendowana powierzchnia (w m²):400.0$Napięcie (w V):40$Rodzaj napędu:Przedni$Szerokość koszenia (w cm):36$Regulacja wysokości cięcia:Na wpół scentralizowana/uśredniona (przód i tył)$Zakres wysokości koszenia ( w cm ):Od 2.5 do 7.5 cm$Ilość poziomów regulacji wysokości koszenia:4$Typ silnika:Akumulator$Akumulator i ładowarka:Brak w zestawie$Pojemność akumulatora (w Ah):5.0$Typ baterii:Litowo-jonowa$Czas pracy baterii (w min):30$Czas ładowania do 100% (w min):120.0$Rodzaj wyrzutu:Od strony frontowej$Funkcja mielenia:Nie$Materiał wykonania obudowy:Polipropylen$Materiał wykonania kosza:Nylon$Pojemność kosza (w l):35.0$Kontrolka napełnienia kosza:Tak$Szerokość (w cm):41.5$Głębokość (w cm):61.5$Wysokość (w cm):37.0$Poziom mocy akustycznej (w dB):96.0$Koła na łożyskach kulkowych:Nie$Średnica kół przednich (w cm):20.0$Średnica kół tylnych ( w cm):10.0$Kierownica z regulowaną wysokością:Tak$Uchwyt do przenoszenia:Tak$Składany uchwyt:Tak$Wyłącznik termiczny:Nie$Użyteczne informacje:Idealna do płaskiego i lekko nierównego trawnika z przeszkodami do ominięcia.$Model / typ:40VLM2-36P.1$Marka produktu:STERWINS$Waga (w kg):13.000$Gwarancja na obudowę (w latach):3$Gwarancja (w latach):3$Kod EAN-:3276000660064$Numer referencyjny-:82152403|1|new|0|0|0|0|0|||||0|0|0|0||699
|1|Kosiarka akumulatorowa Gardenx SF8A110-W4020Y + podkaszarka + nożyce|Kosiarki akumulatorowe||1||1||||||||GARDENX||||0|115|105|43|18|||299|1|0|0|||||<b>Testowe podsumowanie</b>|||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|/img/upload/kosiarka-akumulatorowa-gardenx-sf8a110-w4020y-podkaszarka-nozyce,large.jpg|Zdjęcie pozycji|1|Rekomendowana powierzchnia (w m²):350$Napięcie (w V):20$Rodzaj napędu:Brak$Szerokość koszenia (w cm):37$Regulacja wysokości cięcia:Centralny$Zakres wysokości koszenia ( w cm ):Od 2.5 do 7.5 cm$Ilość poziomów regulacji wysokości koszenia:6$Typ silnika:Bezszczotkowy$Akumulator i ładowarka:W zestawie$Pojemność akumulatora (w Ah):2$Typ baterii:Litowo-jonowa$Czas pracy baterii (w min):15$Czas ładowania do 100% (w min):60$Rodzaj wyrzutu:Tylny$Funkcja mielenia:Tak, zaślepka w zestawie$Materiał wykonania obudowy:Tworzywo sztuczne$Materiał wykonania kosza:Polipropylen i tkanina$Pojemność kosza (w l):35$Kontrolka napełnienia kosza:Tak$Szerokość (w cm):115$Głębokość (w cm):43$Wysokość (w cm):105$Poziom mocy akustycznej (w dB):96$Koła na łożyskach kulkowych:Nie$Średnica kół przednich (w cm):20.32$Średnica kół tylnych ( w cm):15.24$Kierownica z regulowaną wysokością:Tak$Uchwyt do przenoszenia:Tak$Składany uchwyt:Tak$Wyłącznik termiczny:Nie$Model / typ:SF8A110-W4020Y$Marka produktu:GARDENX$Waga (w kg):18$Gwarancja na obudowę (w latach):2$Gwarancja (w latach):2$Kod EAN-:4250116838370$Numer referencyjny-:82972985|1|new|0|0|0|0|0|||||0|0|0|0||718
|1|Kosiarka akumulatorowa Kärcher LMO 18-33 Battery Set 18V 5Ah 33cm|Kosiarki akumulatorowe||1||1||||||||KARCHER||||0|37,1|99.2|125.1|13.5|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Zasilana bateryjnie kosiarka LMO 18-33 Battery Set jest gokartem wśród kosiarek. Jej niska masa i wyjątkowa zwrotność ułatwiają bezwysiłkowe koszenie trawników, również tych o bardziej skomplikowanych kształtach. Kosiarka posiada ostry stalowy nóż, który zapewnia schludnie przystrzyżony trawnik bez nierówności i poszarpanych krawędzi. Regulację wysokości koszenia w tym modelu można ustawić w zakresie czterech poziomów w zależności od potrzeb. System koszenia 2 w 1 pozwala na zbieranie pokosu do pojemnika, lub rozprowadzanie go po trawniku jako naturalnego nawozu, w tym celu należy zastosować dołączony klin mulczujący. Dzięki wskaźnikowi napełnienia zawsze wiadomo kiedy należy opróżnić kosz na ściętą trawę. Wygodny uchwyt gąbkowy i zastosowane włączniki po obu stronach rękojeści sprawiają, że obsługa urządzenia jest wyjątkowo łatwa i komfortowa. Uchwyt prowadzący o regulowanej wysokości umożliwia również wybór optymalnej pozycji roboczej dopasowanej do wzrostu użytkownika. Konstrukcja urządzenia jest składana co pozwala oszczędzać miejsce podczas przechowywania. Kosiarka posiada klucz bezpieczeństwa stanowiący dodatkowe zabezpieczenie przed nieumyślnym uruchomieniem, np. przez dzieci. W zestawie z urządzeniem bateria 18V, 5 Ah z szybką ładowarką.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|/img/upload/kosiarka-akumulatorowa-k-rcher-lmo-18-33-battery-set-18v-5ah-33cm,large.jpg|Zdjęcie pozycji|1|Rekomendowana powierzchnia (w m²):250.0$Napięcie (w V):18$Rodzaj napędu:Brak$Szerokość koszenia (w cm):33$Regulacja wysokości cięcia:Centralny$Zakres wysokości koszenia ( w cm ):Od 3.5 do 7 cm$Ilość poziomów regulacji wysokości koszenia:4$Typ silnika:Akumulator$Akumulator i ładowarka:W zestawie$Pojemność akumulatora (w Ah):5.0$Typ baterii:Litowo-jonowa$Czas pracy baterii (w min):24$Czas ładowania do 100% (w min):143.0$Rodzaj wyrzutu:2 w 1 - tylny i mielenie trawy$Funkcja mielenia:Tak$Materiał wykonania obudowy:Tworzywo sztuczne$Materiał wykonania kosza:Nylon$Pojemność kosza (w l):35.0$Kontrolka napełnienia kosza:Tak$Szerokość (w cm):37,1$Głębokość (w cm):125.1$Wysokość (w cm):99.2$Poziom mocy akustycznej (w dB):92.0$Koła na łożyskach kulkowych:Nie$Średnica kół przednich (w cm):17.5$Średnica kół tylnych ( w cm):14.0$Kierownica z regulowaną wysokością:Nie$Uchwyt do przenoszenia:Tak$Składany uchwyt:Tak$Wyłącznik termiczny:Nie$Użyteczne informacje:Przy koszeniu wysokiej trawy należy zmniejszyć prędkość z jaką urządzenie jest pchane.$Model / typ:LMO 18-33 BATTERY SET$Marka produktu:KARCHER$Waga (w kg):13.5$Gwarancja na obudowę (w latach):2$Gwarancja (w latach):2$Kod EAN-:4054278543307$Numer referencyjny-:84771694|1|new|0|0|0|0|0|||||0|0|0|0||1499
|1|Kosiarka akumulatorowa Kärcher LMO 18-36 Battery Set 18V 5Ah 36cm|Kosiarki akumulatorowe||1||1||||||||KARCHER||||0|39,8|104.2|130.9|15.3|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Dzięki niskiej wadze i wyjątkowej zwrotności, zasilana bateryjnie kosiarka LMO 18-36 Battery Set pozwala kosić bez wysiłku- nawet na trawnikach o skomplikowanym kształcie. Jej ostry stalowy nóż zapewnia schludnie przystrzyżony trawnik bez nierówności i poszarpanych krawędzi. Dzięki systemowi koszenia 2 w 1 trawa może być zbierana do kosza lub rozprowadzana po trawniku jako naturalny nawóz - w tym celu należy zastosować dołączony klin mulczujący. Wysokość koszenia może być regulowana na czterech poziomach. Urządzenie doskonale radzi sobie z precyzyjnym koszeniem wzdłuż krawędzi, ścian, i ogrodzeń – zapewniają to boczne grzebienie kierujące trawę do obszaru koszenia. Bardzo praktycznym rozwiązaniem jest również zastosowanie wskaźnika napełnienia kosza na trawę, który informuje kiedy należy go opróżnić. Wygodny uchwyt gąbkowy i zastosowane włączniki po obu stronach rękojeści sprawiają, że obsługa urządzenia jest wyjątkowo łatwa i komfortowa. Uchwyt prowadzący o regulowanej wysokości umożliwia również wybór optymalnej pozycji roboczej dopasowanej do wzrostu użytkownika. Konstrukcja urządzenia jest składana co pozwala oszczędzać miejsce podczas przechowywania. Kosiarka posiada klucz bezpieczeństwa stanowiący dodatkowe zabezpieczenie przed nieumyślnym uruchomieniem, np. przez dzieci.W zestawie z urządzeniem bateria 18V, 5 Ah z szybką ładowarką.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|/img/upload/kosiarka-akumulatorowa-k-rcher-lmo-18-36-battery-set-18v-5ah-36cm,large.jpg|Zdjęcie pozycji|1|Rekomendowana powierzchnia (w m²):350.0$Napięcie (w V):18$Rodzaj napędu:Brak$Szerokość koszenia (w cm):36$Regulacja wysokości cięcia:Centralny$Zakres wysokości koszenia ( w cm ):Od 3 do 7 cm$Ilość poziomów regulacji wysokości koszenia:4$Typ silnika:Akumulator$Akumulator i ładowarka:W zestawie$Pojemność akumulatora (w Ah):5.0$Typ baterii:Litowo-jonowa$Czas pracy baterii (w min):24$Czas ładowania do 100% (w min):143.0$Rodzaj wyrzutu:2 w 1 - tylny i mielenie trawy$Funkcja mielenia:Tak$Materiał wykonania obudowy:Tworzywo sztuczne$Materiał wykonania kosza:Nylon$Pojemność kosza (w l):45.0$Kontrolka napełnienia kosza:Tak$Szerokość (w cm):39,8$Głębokość (w cm):130.9$Wysokość (w cm):104.2$Poziom mocy akustycznej (w dB):92.0$Koła na łożyskach kulkowych:Nie$Średnica kół przednich (w cm):17.5$Średnica kół tylnych ( w cm):14.0$Kierownica z regulowaną wysokością:Nie$Uchwyt do przenoszenia:Tak$Składany uchwyt:Tak$Wyłącznik termiczny:Nie$Użyteczne informacje:Przy koszeniu wysokiej trawy należy zmniejszyć prędkość z jaką urządzenie jest pchane.$Model / typ:LMO 18-36 BATTERY SET$Marka produktu:KARCHER$Waga (w kg):15.3$Gwarancja na obudowę (w latach):2$Gwarancja (w latach):2$Kod EAN-:4054278546988$Numer referencyjny-:84771702|1|new|0|0|0|0|0|||||0|0|0|0||1999
|1|Kosiarka akumulatorowa Worx 40V + podkaszarka|Kosiarki akumulatorowe||1||1||||||||WORX||||0|48|100|126.7|13|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Kosiarka akumulatorowa Worx WG779E • 2 akumulatory 20 V zapewniają moc 40 V i wydajność silnika elektrycznego. • Funkcja cięcia przy krawędzi, zapewnia dokładnie koszenie krawędzi trawnika, a tym samym oszczędność czasu na przycinanie. • Technologia Intellicut™ zapewnia stałą moc cięcia nawet gęstej trawy. • W pełni składane uchwyty ułatwiają przechowywanie. • Uchwyt transportowy ułatwia przemieszczanie. • Akumulator Powershare jest wymienny z innymi narzędziami WORX 20 V • Idealna do trawników do 280 m2 Podkaszarka akumulatorowa Worx WG157E • Lekka i ergonomiczna konstrukcja • Prosty automatyczny system przesuwny • Wygodna rękojeść z dodatkowym uchwytem ułatwia użytkowanie. • Wydłużona obudowa zapewnia łatwość dotarcia do trudno dostępnych miejsc. • Składana osłona pomaga chronić ozdobne elementy trawnika.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|/img/upload/kosiarka-akumulatorowa-worx-40v-podkaszarka,large.jpg|Zdjęcie pozycji|1|Rekomendowana powierzchnia (w m²):280$Napięcie (w V):40$Rodzaj napędu:Przedni$Szerokość koszenia (w cm):34$Regulacja wysokości cięcia:Centralny$Zakres wysokości koszenia ( w cm ):Od 2 do 7 cm$Ilość poziomów regulacji wysokości koszenia:6$Typ silnika:Akumulator$Akumulator i ładowarka:W zestawie$Pojemność akumulatora (w Ah):2$Typ baterii:Litowo-jonowa$Czas pracy baterii (w min):230$Czas ładowania do 100% (w min):60$Rodzaj wyrzutu:Od strony frontowej$Funkcja mielenia:Nie$Materiał wykonania obudowy:ABS$Materiał wykonania kosza:Polipropylen i tkanina$Pojemność kosza (w l):30$Kontrolka napełnienia kosza:Tak$Szerokość (w cm):48$Głębokość (w cm):126.7$Wysokość (w cm):100$Poziom mocy akustycznej (w dB):88$Koła na łożyskach kulkowych:Nie$Średnica kół przednich (w cm):18$Średnica kół tylnych ( w cm):16$Kierownica z regulowaną wysokością:Nie$Uchwyt do przenoszenia:Tak$Składany uchwyt:Tak$Wyłącznik termiczny:Tak, chroni silnik przed przegrzaniem$Użyteczne informacje:Kosiarka WORX akumulatorowa WG779E z podkaszarką WG157E + 2 x akumulator 2.0 AH + ładowarka$Model / typ:WG927$Marka produktu:WORX$Waga (w kg):13$Gwarancja na obudowę (w latach):3$Gwarancja (w latach):3$Kod EAN-:6924328316800$Numer referencyjny-:82143603|1|new|0|0|0|0|0|||||0|0|0|0||1188
|1|Kosiarka akumulatorowa Ryobi One+ RY18LMx37A-0 18V 37cm|Kosiarki akumulatorowe||1||1||||||||RYOBI||||0|40|120|130|11|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Bezszczotkowa kosiarka 18 V o szerokości koszenia 37 cm. Kompaktowy kształt ułatwia manewrowanie po ogrodzie. Silnik bezszczotkowy zapewnia szybki i efektywne koszenie. Wytrzymała 6-stopniowa regulacja wysokości koszenia między 25-70 mm. Funkcja EasyEdge™ pozwala kosić tuż przy krawędzi trawnika. Składane uchwyty oraz składany kosz na trawę ułatwiają przechowywanie urządzenia. Kosz na trawę o pojemności 45 litrów.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|/img/upload/kosiarka-akumulatorowa-ryobi-one-ry18lmx37a-0-18v-37cm,large.jpg|Zdjęcie pozycji|1|Rekomendowana powierzchnia (w m²):350$Napięcie (w V):18$Rodzaj napędu:Brak$Szerokość koszenia (w cm):37$Regulacja wysokości cięcia:Centralny$Zakres wysokości koszenia ( w cm ):Od 2.5 do 7 cm$Ilość poziomów regulacji wysokości koszenia:6$Typ silnika:Bezszczotkowy$Akumulator i ładowarka:Brak w zestawie$Pojemność akumulatora (w Ah):0$Typ baterii:Litowo-jonowa$Czas pracy baterii (w min):0$Czas ładowania do 100% (w min):60$Rodzaj wyrzutu:2 w 1 - tylny i mielenie trawy$Funkcja mielenia:Tak, zaślepka w zestawie$Materiał wykonania obudowy:Polipropylen$Materiał wykonania kosza:Polipropylen$Pojemność kosza (w l):45$Kontrolka napełnienia kosza:Tak$Szerokość (w cm):40$Głębokość (w cm):130$Wysokość (w cm):120$Poziom mocy akustycznej (w dB):78.5$Koła na łożyskach kulkowych:Nie$Średnica kół przednich (w cm):18$Średnica kół tylnych ( w cm):14$Kierownica z regulowaną wysokością:Tak$Uchwyt do przenoszenia:Tak$Składany uchwyt:Tak$Wyłącznik termiczny:Tak, chroni silnik przed przegrzaniem$Model / typ:SOLO$Marka produktu:RYOBI$Waga (w kg):11$Gwarancja na obudowę (w latach):2$Gwarancja (w latach):2$Kod EAN-:4892210182777$Numer referencyjny-:82588479|1|new|0|0|0|0|0|||||0|0|0|0||1188
|1|Kosiarka akumulatorowa Makita Solo DLM382Z 2x18V 38cm|Kosiarki akumulatorowe||1||1||||||||MAKITA||||0|46,5|107.0|114.5|13.5|||299|1|0|0|||||<b>Testowe podsumowanie</b>|Łatwe opróżnianie kosza na trawę. Centralna regulacja wysokości koszenia. Wskaźnik zapełnienia kosza. Koła na łożyskach kulkowych. Główny włącznik zasilania. Wymagane 2 akumulatory po 18 V.||||||W magazynie|Dozwolone ponowne zamówienie|1|2022-10-28|2022-10-28|1|/img/upload/kosiarka-akumulatorowa-makita-solo-dlm382z-2x18v-38cm,large.jpg|Zdjęcie pozycji|1|Rekomendowana powierzchnia (w m²):540.0$Napięcie (w V):36$Rodzaj napędu:Brak$Szerokość koszenia (w cm):38.0$Regulacja wysokości cięcia:Centralny$Zakres wysokości koszenia ( w cm ):Od 2.5 do 7.5 cm$Ilość poziomów regulacji wysokości koszenia:13$Typ silnika:Akumulator$Akumulator i ładowarka:Brak w zestawie$Pojemność akumulatora (w Ah):0.0$Typ baterii:Litowo-jonowa$Czas pracy baterii (w min):0$Czas ładowania do 100% (w min):60.0$Rodzaj wyrzutu:Tylny$Funkcja mielenia:Tak$Materiał wykonania obudowy:Polipropylen$Materiał wykonania kosza:Nylon$Pojemność kosza (w l):40.0$Kontrolka napełnienia kosza:Tak$Szerokość (w cm):46,5$Głębokość (w cm):114.5$Wysokość (w cm):107.0$Poziom mocy akustycznej (w dB):81.0$Koła na łożyskach kulkowych:Tak$Średnica kół przednich (w cm):19.0$Średnica kół tylnych ( w cm):14.0$Kierownica z regulowaną wysokością:Nie$Uchwyt do przenoszenia:Tak$Składany uchwyt:Tak$Wyłącznik termiczny:Tak$Model / typ:DLM382Z$Marka produktu:MAKITA$Waga (w kg):13.5$Gwarancja na obudowę (w latach):1$Gwarancja (w latach):2$Kod EAN-:0088381891172$Numer referencyjny-:82585226|1|new|0|0|0|0|0|||||0|0|0|0||988
