Identyfikator Produktu (ID)|Indeks produktu|Atrybut (Nazwa:Typ:Pozycja)*|Wartość (Wartość:Pozycja)*|Identyfikator dostawcy|Indeks|kod EAN13|Kod kreskowy UPC|MPN|Koszt własny|Wpływ na cenę|Podatek ekologiczny|Ilość|Minimalna ilość|Niski poziom produktów w magazynie|Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu|Wpływ na wagę|Domyślny (0 = Nie, 1 = Tak)|Data dostępności kombinacji|Wybierz z pośród zdjęć produktów wg pozycji (1,2,3...)|Adresy URL zdjęcia (x,y,z...)|Tekst alternatywny dla zdjęć (x,y,z...)|ID / Nazwa sklepu|Zaawansowane zarządzanie magazynem|Zależny od stanu magazynowego|Magazyn
1|1|Gwarancja (W latach):radio:0|1:0||1-1|4892210199096||||0.00|0|500|1||0|0|1||1|||0|0|0|0
1|1|Gwarancja (W latach):radio:0|2:0||1-2|4892210199096||||199.90|0|500|1||0|0|0||1|||0|0|0|0
1|1|Gwarancja (W latach):radio:0|3:0||1-3|4892210199096||||299.85|0|500|1||0|0|0||1|||0|0|0|0
2|2|Gwarancja (W latach):radio:0|1:0||2-1|3276007157215||||0.00|0|500|1||0|0|1||1|||0|0|0|0
2|2|Gwarancja (W latach):radio:0|2:0||2-2|3276007157215||||77.90|0|500|1||0|0|0||1|||0|0|0|0
2|2|Gwarancja (W latach):radio:0|3:0||2-3|3276007157215||||116.85|0|500|1||0|0|0||1|||0|0|0|0
3|3|Gwarancja (W latach):radio:0|1:0||3-1|3276000660040||||0.00|0|500|1||0|0|1||1|||0|0|0|0
3|3|Gwarancja (W latach):radio:0|2:0||3-2|3276000660040||||44.90|0|500|1||0|0|0||1|||0|0|0|0
3|3|Gwarancja (W latach):radio:0|3:0||3-3|3276000660040||||67.35|0|500|1||0|0|0||1|||0|0|0|0
4|4|Gwarancja (W latach):radio:0|1:0||4-1|3276000660064||||0.00|0|500|1||0|0|1||1|||0|0|0|0
4|4|Gwarancja (W latach):radio:0|2:0||4-2|3276000660064||||69.90|0|500|1||0|0|0||1|||0|0|0|0
4|4|Gwarancja (W latach):radio:0|3:0||4-3|3276000660064||||104.85|0|500|1||0|0|0||1|||0|0|0|0
5|5|Gwarancja (W latach):radio:0|1:0||5-1|4250116838370||||0.00|0|500|1||0|0|1||1|||0|0|0|0
5|5|Gwarancja (W latach):radio:0|2:0||5-2|4250116838370||||71.80|0|500|1||0|0|0||1|||0|0|0|0
5|5|Gwarancja (W latach):radio:0|3:0||5-3|4250116838370||||107.70|0|500|1||0|0|0||1|||0|0|0|0
6|6|Gwarancja (W latach):radio:0|1:0||6-1|4054278543307||||0.00|0|500|1||0|0|1||1|||0|0|0|0
6|6|Gwarancja (W latach):radio:0|2:0||6-2|4054278543307||||149.90|0|500|1||0|0|0||1|||0|0|0|0
6|6|Gwarancja (W latach):radio:0|3:0||6-3|4054278543307||||224.85|0|500|1||0|0|0||1|||0|0|0|0
7|7|Gwarancja (W latach):radio:0|1:0||7-1|4054278546988||||0.00|0|500|1||0|0|1||1|||0|0|0|0
7|7|Gwarancja (W latach):radio:0|2:0||7-2|4054278546988||||199.90|0|500|1||0|0|0||1|||0|0|0|0
7|7|Gwarancja (W latach):radio:0|3:0||7-3|4054278546988||||299.85|0|500|1||0|0|0||1|||0|0|0|0
8|8|Gwarancja (W latach):radio:0|1:0||8-1|6924328316800||||0.00|0|500|1||0|0|1||1|||0|0|0|0
8|8|Gwarancja (W latach):radio:0|2:0||8-2|6924328316800||||118.80|0|500|1||0|0|0||1|||0|0|0|0
8|8|Gwarancja (W latach):radio:0|3:0||8-3|6924328316800||||178.20|0|500|1||0|0|0||1|||0|0|0|0
9|9|Gwarancja (W latach):radio:0|1:0||9-1|4892210182777||||0.00|0|500|1||0|0|1||1|||0|0|0|0
9|9|Gwarancja (W latach):radio:0|2:0||9-2|4892210182777||||118.80|0|500|1||0|0|0||1|||0|0|0|0
9|9|Gwarancja (W latach):radio:0|3:0||9-3|4892210182777||||178.20|0|500|1||0|0|0||1|||0|0|0|0
10|10|Gwarancja (W latach):radio:0|1:0||10-1|0088381891172||||0.00|0|500|1||0|0|1||1|||0|0|0|0
10|10|Gwarancja (W latach):radio:0|2:0||10-2|0088381891172||||98.80|0|500|1||0|0|0||1|||0|0|0|0
10|10|Gwarancja (W latach):radio:0|3:0||10-3|0088381891172||||148.20|0|500|1||0|0|0||1|||0|0|0|0
11|11|Gwarancja (W latach):radio:0|1:0||11-1|4892210171948||||0.00|0|500|1||0|0|1||1|||0|0|0|0
11|11|Gwarancja (W latach):radio:0|2:0||11-2|4892210171948||||68.80|0|500|1||0|0|0||1|||0|0|0|0
11|11|Gwarancja (W latach):radio:0|3:0||11-3|4892210171948||||103.20|0|500|1||0|0|0||1|||0|0|0|0
12|12|Gwarancja (W latach):radio:0|1:0||12-1|3276000429975||||0.00|0|500|1||0|0|1||1|||0|0|0|0
12|12|Gwarancja (W latach):radio:0|2:0||12-2|3276000429975||||64.90|0|500|1||0|0|0||1|||0|0|0|0
12|12|Gwarancja (W latach):radio:0|3:0||12-3|3276000429975||||97.35|0|500|1||0|0|0||1|||0|0|0|0
13|13|Gwarancja (W latach):radio:0|1:0||13-1|3276000429968||||0.00|0|500|1||0|0|1||1|||0|0|0|0
13|13|Gwarancja (W latach):radio:0|2:0||13-2|3276000429968||||39.90|0|500|1||0|0|0||1|||0|0|0|0
13|13|Gwarancja (W latach):radio:0|3:0||13-3|3276000429968||||59.85|0|500|1||0|0|0||1|||0|0|0|0
14|14|Gwarancja (W latach):radio:0|1:0||14-1|3276007372793||||0.00|0|500|1||0|0|1||1|||0|0|0|0
14|14|Gwarancja (W latach):radio:0|2:0||14-2|3276007372793||||39.90|0|500|1||0|0|0||1|||0|0|0|0
14|14|Gwarancja (W latach):radio:0|3:0||14-3|3276007372793||||59.85|0|500|1||0|0|0||1|||0|0|0|0
15|15|Gwarancja (W latach):radio:0|1:0||15-1|3276000429982||||0.00|0|500|1||0|0|1||1|||0|0|0|0
15|15|Gwarancja (W latach):radio:0|2:0||15-2|3276000429982||||49.90|0|500|1||0|0|0||1|||0|0|0|0
15|15|Gwarancja (W latach):radio:0|3:0||15-3|3276000429982||||74.85|0|500|1||0|0|0||1|||0|0|0|0
16|16|Gwarancja (W latach):radio:0|1:0||16-1|5901694464640||||0.00|0|500|1||0|0|1||1|||0|0|0|0
16|16|Gwarancja (W latach):radio:0|2:0||16-2|5901694464640||||24.90|0|500|1||0|0|0||1|||0|0|0|0
16|16|Gwarancja (W latach):radio:0|3:0||16-3|5901694464640||||37.35|0|500|1||0|0|0||1|||0|0|0|0
17|17|Gwarancja (W latach):radio:0|1:0||17-1|5902067855034||||0.00|0|500|1||0|0|1||1|||0|0|0|0
17|17|Gwarancja (W latach):radio:0|2:0||17-2|5902067855034||||32.90|0|500|1||0|0|0||1|||0|0|0|0
17|17|Gwarancja (W latach):radio:0|3:0||17-3|5902067855034||||49.35|0|500|1||0|0|0||1|||0|0|0|0
18|18|Gwarancja (W latach):radio:0|1:0||18-1|5903357101725||||0.00|0|500|1||0|0|1||1|||0|0|0|0
18|18|Gwarancja (W latach):radio:0|2:0||18-2|5903357101725||||29.90|0|500|1||0|0|0||1|||0|0|0|0
18|18|Gwarancja (W latach):radio:0|3:0||18-3|5903357101725||||44.85|0|500|1||0|0|0||1|||0|0|0|0
19|19|Gwarancja (W latach):radio:0|1:0||19-1|4892210199188||||0.00|0|500|1||0|0|1||1|||0|0|0|0
19|19|Gwarancja (W latach):radio:0|2:0||19-2|4892210199188||||49.90|0|500|1||0|0|0||1|||0|0|0|0
19|19|Gwarancja (W latach):radio:0|3:0||19-3|4892210199188||||74.85|0|500|1||0|0|0||1|||0|0|0|0
20|20|Gwarancja (W latach):radio:0|1:0||20-1|4892210172839||||0.00|0|500|1||0|0|1||1|||0|0|0|0
20|20|Gwarancja (W latach):radio:0|2:0||20-2|4892210172839||||78.80|0|500|1||0|0|0||1|||0|0|0|0
20|20|Gwarancja (W latach):radio:0|3:0||20-3|4892210172839||||118.20|0|500|1||0|0|0||1|||0|0|0|0
21|21|Gwarancja (W latach):radio:0|1:0||21-1|5901694464480||||0.00|0|500|1||0|0|1||1|||0|0|0|0
21|21|Gwarancja (W latach):radio:0|2:0||21-2|5901694464480||||38.80|0|500|1||0|0|0||1|||0|0|0|0
21|21|Gwarancja (W latach):radio:0|3:0||21-3|5901694464480||||58.20|0|500|1||0|0|0||1|||0|0|0|0
22|22|Gwarancja (W latach):radio:0|1:0||22-1|5902067856413||||0.00|0|500|1||0|0|1||1|||0|0|0|0
22|22|Gwarancja (W latach):radio:0|2:0||22-2|5902067856413||||69.90|0|500|1||0|0|0||1|||0|0|0|0
22|22|Gwarancja (W latach):radio:0|3:0||22-3|5902067856413||||104.85|0|500|1||0|0|0||1|||0|0|0|0
23|23|Gwarancja (W latach):radio:0|1:0||23-1|5903357107628||||0.00|0|500|1||0|0|1||1|||0|0|0|0
23|23|Gwarancja (W latach):radio:0|2:0||23-2|5903357107628||||19.90|0|500|1||0|0|0||1|||0|0|0|0
23|23|Gwarancja (W latach):radio:0|3:0||23-3|5903357107628||||29.85|0|500|1||0|0|0||1|||0|0|0|0
24|24|Gwarancja (W latach):radio:0|1:0||24-1|5902490741737||||0.00|0|500|1||0|0|1||1|||0|0|0|0
24|24|Gwarancja (W latach):radio:0|2:0||24-2|5902490741737||||95.90|0|500|1||0|0|0||1|||0|0|0|0
24|24|Gwarancja (W latach):radio:0|3:0||24-3|5902490741737||||143.85|0|500|1||0|0|0||1|||0|0|0|0
25|25|Gwarancja (W latach):radio:0|1:0||25-1|5903357107949||||0.00|0|500|1||0|0|1||1|||0|0|0|0
25|25|Gwarancja (W latach):radio:0|2:0||25-2|5903357107949||||119.90|0|500|1||0|0|0||1|||0|0|0|0
25|25|Gwarancja (W latach):radio:0|3:0||25-3|5903357107949||||179.85|0|500|1||0|0|0||1|||0|0|0|0
26|26|Gwarancja (W latach):radio:0|1:0||26-1|3276000429906||||0.00|0|500|1||0|0|1||1|||0|0|0|0
26|26|Gwarancja (W latach):radio:0|2:0||26-2|3276000429906||||339.90|0|500|1||0|0|0||1|||0|0|0|0
26|26|Gwarancja (W latach):radio:0|3:0||26-3|3276000429906||||509.85|0|500|1||0|0|0||1|||0|0|0|0
27|27|Gwarancja (W latach):radio:0|1:0||27-1|3276000465270||||0.00|0|500|1||0|0|1||1|||0|0|0|0
27|27|Gwarancja (W latach):radio:0|2:0||27-2|3276000465270||||299.90|0|500|1||0|0|0||1|||0|0|0|0
27|27|Gwarancja (W latach):radio:0|3:0||27-3|3276000465270||||449.85|0|500|1||0|0|0||1|||0|0|0|0
28|28|Gwarancja (W latach):radio:0|1:0||28-1|3276000429869||||0.00|0|500|1||0|0|1||1|||0|0|0|0
28|28|Gwarancja (W latach):radio:0|2:0||28-2|3276000429869||||129.90|0|500|1||0|0|0||1|||0|0|0|0
28|28|Gwarancja (W latach):radio:0|3:0||28-3|3276000429869||||194.85|0|500|1||0|0|0||1|||0|0|0|0
29|29|Gwarancja (W latach):radio:0|1:0||29-1|5901694463445||||0.00|0|500|1||0|0|1||1|||0|0|0|0
29|29|Gwarancja (W latach):radio:0|2:0||29-2|5901694463445||||94.90|0|500|1||0|0|0||1|||0|0|0|0
29|29|Gwarancja (W latach):radio:0|3:0||29-3|5901694463445||||142.35|0|500|1||0|0|0||1|||0|0|0|0
30|30|Gwarancja (W latach):radio:0|1:0||30-1|5901694463353||||0.00|0|500|1||0|0|1||1|||0|0|0|0
30|30|Gwarancja (W latach):radio:0|2:0||30-2|5901694463353||||79.90|0|500|1||0|0|0||1|||0|0|0|0
30|30|Gwarancja (W latach):radio:0|3:0||30-3|5901694463353||||119.85|0|500|1||0|0|0||1|||0|0|0|0
31|31|Gwarancja (W latach):radio:0|1:0||31-1|5901694463469||||0.00|0|500|1||0|0|1||1|||0|0|0|0
31|31|Gwarancja (W latach):radio:0|2:0||31-2|5901694463469||||118.80|0|500|1||0|0|0||1|||0|0|0|0
31|31|Gwarancja (W latach):radio:0|3:0||31-3|5901694463469||||178.20|0|500|1||0|0|0||1|||0|0|0|0
32|32|Gwarancja (W latach):radio:0|1:0||32-1|8008984841420||||0.00|0|500|1||0|0|1||1|||0|0|0|0
